date,description,amount,payment_mode,category
2025-11-30,AIRTEL BROADBAND *7681,214.0,Card,Bills
2025-10-17,SWIGGY ORDER *1855,630.0,NetBanking,Food
2026-04-03,AIRTEL BROADBAND *6752,887.0,Card,Bills
2025-12-03,DMART *9445,3748.0,Card,Shopping
2026-01-18,TORRENT POWER *8623,2285.0,Card,Bills
2026-04-01,FLIPKART *3587,3462.0,NetBanking,Shopping
2026-06-26,JIO RECHARGE *9737,1619.0,NetBanking,Bills
2026-07-14,AMAZON PAY *3463,2729.0,NetBanking,Shopping
2025-12-04,LIC PREMIUM *4760,2200.0,UPI,Bills
2026-08-09,JIO RECHARGE *3418,1464.0,Card,Bills
2026-05-20,HOTSTAR *9068,286.0,UPI,Entertainment
2026-07-17,TORRENT POWER *9234,1759.0,Card,Bills
2026-04-07,SWIGGY ORDER *8799,672.0,Card,Food
2026-07-27,SPOTIFY *4665,821.0,Card,Entertainment
2026-08-08,CHAI POINT *1928,176.0,Card,Food
2026-05-09,LIC PREMIUM *2177,814.0,UPI,Bills
2026-01-01,zomato *1238   ,264.0,UPI,Food
2026-05-19,RELIANCE TRENDS *2588,4078.0,UPI,Shopping
2026-02-26,JIO RECHARGE *2069,1317.0,Card,Bills
2026-07-14,BOOKMYSHOW *5971,835.0,Card,Entertainment
2026-05-08,JIO RECHARGE *6696,1405.0,NetBanking,Bills
2025-11-02,dmart *6154   ,3859.0,NetBanking,Shopping
2026-06-03,FLIPKART *9102,4856.0,Card,Shopping
2026-07-14,IRCTC TICKET *3939,4102.0,Card,Travel
2026-06-02,LIC PREMIUM *2900,2367.0,Card,Bills
2026-04-10,BOOKMYSHOW *7802,205.0,Card,Entertainment
2026-01-03,hotstar *3939   ,122.0,NetBanking,Entertainment
2026-01-26,chai point *6599   ,364.0,NetBanking,Food
2026-03-13,NETFLIX *6988,555.0,NetBanking,Entertainment
2026-03-02,OLA CABS *1066,676.0,Card,Travel
2026-08-07,INDIGO AIRLINES *9453,1482.0,Card,Travel
2026-08-04,PVR CINEMAS *3292,613.0,UPI,Entertainment
2025-12-19,SPOTIFY *8953,787.0,Card,Entertainment
2026-04-05,BOOKMYSHOW *2907,236.0,Card,Entertainment
2026-06-08,RELIANCE TRENDS *6634,2323.0,NetBanking,Shopping
2026-09-07,ZOMATO *2699,65.0,UPI,Food
2025-11-27,LIC PREMIUM *8984,556.0,UPI,Bills
2026-08-01,OLA CABS *5241,5934.0,Card,Travel
2026-05-25,chai point *8415   ,427.0,NetBanking,Food
2026-06-24,STARBUCKS *6730,544.0,UPI,Food
2026-08-14,STARBUCKS *6582,258.0,NetBanking,Food
2026-02-10,GAS BILL *7794,270.0,Card,Bills
2026-02-16,HOTSTAR *5419,891.0,NetBanking,Entertainment
2025-12-24,OLA CABS *8288,3243.0,Card,Travel
2026-03-22,BOOKMYSHOW *1671,262.0,UPI,Entertainment
2025-10-08,BOOKMYSHOW *7676,247.0,UPI,Entertainment
2026-03-23,GAS BILL *1526,2046.0,NetBanking,Bills
2026-03-10,CHAI POINT *6699,457.0,UPI,Food
2025-10-13,METRO RECHARGE *7915,5073.0,UPI,Travel
2026-08-27,STARBUCKS *8069,798.0,UPI,Food
2026-07-16,HOTSTAR *2460,760.0,UPI,Entertainment
2026-07-21,torrent power *7241   ,2995.0,NetBanking,Bills
2026-01-20,NETFLIX *1205,283.0,Card,Entertainment
2026-06-02,METRO RECHARGE *2968,743.0,Card,Travel
2026-06-07,DOMINOS PIZZA *6644,,NetBanking,Food
2026-01-16,STARBUCKS *2674,348.0,UPI,Food
2025-10-16,UBER TRIP *9684,5585.0,Card,Travel
2025-12-04,SWIGGY ORDER *6614,752.0,NetBanking,Food
2026-09-04,SWIGGY ORDER *5893,320.0,NetBanking,Food
2026-03-13,hotstar *1285   ,363.0,UPI,Entertainment
2026-04-04,RELIANCE TRENDS *3179,1604.0,Card,Shopping
2025-12-21,RELIANCE TRENDS *8823,4435.0,UPI,Shopping
2025-12-10,SWIGGY ORDER *5025,278.0,UPI,Food
2025-11-19,RELIANCE TRENDS *5958,3763.0,Card,Shopping
2025-10-26,UBER TRIP *1453,1744.0,UPI,Travel
2025-12-25,INDIGO AIRLINES *7558,2066.0,Card,Travel
2026-04-21,CHAI POINT *9215,370.0,UPI,Food
2025-11-22,AMAZON PAY *1502,1539.0,Card,Shopping
2026-03-19,IRCTC TICKET *1545,2501.0,NetBanking,Travel
2026-08-06,BOOKMYSHOW *1667,397.0,UPI,Entertainment
2025-10-25,PVR CINEMAS *6772,215.0,Card,Entertainment
2025-10-24,ZOMATO *2741,770.0,Card,Food
2026-03-02,BOOKMYSHOW *4084,732.0,NetBanking,Entertainment
2026-05-28,AMAZON PAY *6917,1994.0,UPI,Shopping
2025-11-02,SPOTIFY *5299,616.0,UPI,Entertainment
2026-01-16,BOOKMYSHOW *4075,191.0,NetBanking,Entertainment
2026-08-02,SWIGGY ORDER *2689,553.0,Card,Food
2026-06-18,gas bill *1804   ,1083.0,Card,Bills
2026-01-01,BOOKMYSHOW *1386,448.0,Card,Entertainment
2025-11-24,netflix *2446   ,515.0,UPI,Entertainment
2026-05-06,GAS BILL *9707,1775.0,UPI,Bills
2026-08-26,UBER TRIP *2537,5216.0,Card,Travel
2026-01-01,UBER TRIP *9175,3888.0,NetBanking,Travel
2025-10-25,ZOMATO *8468,398.0,NetBanking,Food
2026-03-13,IRCTC TICKET *5042,5270.0,Card,Travel
2025-10-26,UBER TRIP *1453,1744.0,UPI,Travel
2026-09-23,MYNTRA *6647,2622.0,Card,Shopping
2026-03-21,SWIGGY ORDER *1719,134.0,Card,Food
2025-12-28,INDIGO AIRLINES *4406,1827.0,UPI,Travel
2026-04-24,CHAI POINT *7783,534.0,NetBanking,Food
2026-08-16,DOMINOS PIZZA *1500,245.0,NetBanking,Food
2026-07-03,NETFLIX *7382,400.0,Card,Entertainment
2026-05-14,OLA CABS *9861,5899.0,UPI,Travel
2026-01-14,OLA CABS *2702,2041.0,UPI,Travel
2026-02-05,UBER TRIP *6406,4112.0,Card,Travel
2026-09-05,METRO RECHARGE *8493,4143.0,UPI,Travel
2026-07-15,SPOTIFY *4155,120.0,NetBanking,Entertainment
2026-03-10,HOTSTAR *1238,630.0,Card,Entertainment
2025-11-30,METRO RECHARGE *5805,846.0,NetBanking,Travel
2026-09-09,STARBUCKS *5704,716.0,UPI,Food
2026-03-01,FLIPKART *2238,2413.0,NetBanking,Shopping
2026-09-22,UBER TRIP *1175,5136.0,NetBanking,Travel
2025-11-04,CHAI POINT *4175,594.0,UPI,Food
2025-11-07,INDIGO AIRLINES *6315,794.0,NetBanking,Travel
2026-04-10,METRO RECHARGE *9690,4957.0,UPI,Travel
2025-10-02,JIO RECHARGE *7368,2998.0,UPI,Bills
2026-06-13,FLIPKART *7093,426.0,UPI,Shopping
2026-03-12,STARBUCKS *2715,605.0,UPI,Food
2026-02-05,DMART *3738,1416.0,UPI,Shopping
2026-03-11,LIC PREMIUM *5370,355.0,UPI,Bills
2026-05-23,NETFLIX *2725,215.0,NetBanking,Entertainment
2026-01-23,SWIGGY ORDER *5376,334.0,UPI,Food
2025-12-05,DOMINOS PIZZA *9853,79.0,UPI,Food
2026-01-15,BOOKMYSHOW *1824,316.0,UPI,Entertainment
2026-08-03,METRO RECHARGE *4518,2982.0,UPI,Travel
2026-04-24,BOOKMYSHOW *1823,458.0,UPI,Entertainment
2026-09-09,FLIPKART *3970,211.0,NetBanking,Shopping
2026-09-20,chai point *3743   ,758.0,Card,Food
2026-06-22,DMART *8843,,NetBanking,Shopping
2026-06-07,bookmyshow *3925   ,400.0,UPI,Entertainment
2026-08-04,INDIGO AIRLINES *5568,4247.0,Card,Travel
2026-01-03,STARBUCKS *4170,759.0,UPI,Food
2026-03-15,bookmyshow *8645   ,853.0,NetBanking,Entertainment
2026-06-09,TORRENT POWER *6738,1722.0,NetBanking,Bills
2026-02-14,SPOTIFY *3635,645.0,UPI,Entertainment
2026-04-14,METRO RECHARGE *7633,637.0,NetBanking,Travel
2026-07-23,DMART *4395,1013.0,Card,Shopping
2025-11-27,DMART *9932,316.0,Card,Shopping
2026-06-13,INDIGO AIRLINES *6656,2025.0,UPI,Travel
2026-07-02,chai point *4273   ,503.0,Card,Food
2026-03-05,TORRENT POWER *6193,2652.0,NetBanking,Bills
2026-01-19,BOOKMYSHOW *7371,209.0,Card,Entertainment
2026-06-15,ZOMATO *4845,678.0,NetBanking,Food
2026-02-16,IRCTC TICKET *4708,801.0,Card,Travel
2025-10-24,AIRTEL BROADBAND *7213,2053.0,NetBanking,Bills
2026-05-08,FLIPKART *7738,1777.0,UPI,Shopping
2026-03-27,PVR CINEMAS *7523,756.0,Card,Entertainment
2026-02-26,SPOTIFY *3827,660.0,Card,Entertainment
2026-01-26,HOTSTAR *1443,450.0,NetBanking,Entertainment
2026-08-29,AMAZON PAY *2014,2332.0,UPI,Shopping
2026-06-27,GAS BILL *8548,2877.0,Card,Bills
2026-06-27,OLA CABS *5799,726.0,UPI,Travel
2026-01-27,HOTSTAR *9789,480.0,UPI,Entertainment
2026-08-07,amazon pay *3000   ,2956.0,NetBanking,Shopping
2025-11-16,spotify *8846   ,550.0,UPI,Entertainment
2025-10-10,LIC PREMIUM *4185,2873.0,Card,Bills
2026-03-24,AIRTEL BROADBAND *7142,2969.0,NetBanking,Bills
2026-06-16,RELIANCE TRENDS *1282,2098.0,Card,Shopping
2025-10-01,HOTSTAR *9210,430.0,UPI,Entertainment
2026-05-22,NETFLIX *3892,273.0,UPI,Entertainment
2025-10-04,JIO RECHARGE *6468,1070.0,UPI,Bills
2026-03-29,JIO RECHARGE *3761,2676.0,UPI,Bills
2026-08-25,NETFLIX *1296,460.0,UPI,Entertainment
2026-02-06,JIO RECHARGE *6413,1419.0,UPI,Bills
2026-04-04,ZOMATO *2423,266.0,Card,Food
2025-10-01,JIO RECHARGE *2854,716.0,NetBanking,Bills
2026-06-17,HOTSTAR *6565,547.0,UPI,Entertainment
2026-04-11,JIO RECHARGE *5658,2923.0,NetBanking,Bills
2026-06-13,DOMINOS PIZZA *1698,135.0,UPI,Food
2026-06-24,zomato *1689   ,312.0,NetBanking,Food
2025-10-18,AIRTEL BROADBAND *5059,,Card,Bills
2026-04-17,INDIGO AIRLINES *1959,732.0,Card,Travel
2025-12-04,FLIPKART *3402,3412.0,Card,Shopping
2025-10-22,zomato *5968   ,659.0,UPI,Food
2026-04-04,NETFLIX *9662,316.0,UPI,Entertainment
2026-01-13,IRCTC TICKET *4644,1243.0,Card,Travel
2025-12-29,HOTSTAR *9125,318.0,Card,Entertainment
2026-03-25,DOMINOS PIZZA *9007,557.0,NetBanking,Food
2026-01-19,LIC PREMIUM *7652,2470.0,NetBanking,Bills
2025-10-03,metro recharge *3261   ,4209.0,NetBanking,Travel
2026-03-31,BOOKMYSHOW *9974,851.0,NetBanking,Entertainment
2025-12-24,AIRTEL BROADBAND *1556,1309.0,NetBanking,Bills
2026-05-31,DMART *9664,1158.0,UPI,Shopping
2026-09-18,RELIANCE TRENDS *6142,4870.0,NetBanking,Shopping
2026-02-23,FLIPKART *7928,4821.0,Card,Shopping
2026-05-24,UBER TRIP *7738,2512.0,UPI,Travel
2025-11-27,DMART *8426,541.0,Card,Shopping
2026-01-01,AIRTEL BROADBAND *6161,2576.0,NetBanking,Bills
2025-10-06,FLIPKART *6911,3703.0,NetBanking,Shopping
2026-03-09,UBER TRIP *1851,1727.0,Card,Travel
2025-11-09,gas bill *2709   ,1836.0,NetBanking,Bills
2026-03-15,LIC PREMIUM *4382,217.0,NetBanking,Bills
2026-01-05,RELIANCE TRENDS *9558,727.0,NetBanking,Shopping
2026-09-02,AIRTEL BROADBAND *3466,2088.0,NetBanking,Bills
2026-06-04,HOTSTAR *9130,174.0,Card,Entertainment
2026-06-06,SPOTIFY *6633,270.0,UPI,Entertainment
2026-01-09,myntra *4809   ,2611.0,Card,Shopping
2026-01-03,AIRTEL BROADBAND *5675,1040.0,Card,Bills
2026-01-26,OLA CABS *1770,4002.0,Card,Travel
2025-11-28,starbucks *4424   ,504.0,NetBanking,Food
2025-12-25,RELIANCE TRENDS *3744,3556.0,Card,Shopping
2026-01-22,TORRENT POWER *1412,878.0,UPI,Bills
2026-07-24,FLIPKART *4003,4880.0,UPI,Shopping
2026-03-22,LIC PREMIUM *4574,1556.0,Card,Bills
2026-06-19,SPOTIFY *6904,518.0,UPI,Entertainment
2025-12-28,CHAI POINT *9899,409.0,NetBanking,Food
2026-07-16,NETFLIX *8280,303.0,UPI,Entertainment
2026-05-27,FLIPKART *7731,1153.0,UPI,Shopping
2026-03-10,TORRENT POWER *6111,2806.0,Card,Bills
2026-01-17,OLA CABS *7849,1098.0,NetBanking,Travel
2026-07-24,DMART *8986,470.0,Card,Shopping
2026-06-07,AIRTEL BROADBAND *9381,2908.0,UPI,Bills
2026-02-06,AMAZON PAY *8209,4186.0,UPI,Shopping
2025-11-12,DOMINOS PIZZA *2907,,Card,Food
2025-11-23,FLIPKART *9653,3439.0,NetBanking,Shopping
2025-11-09,INDIGO AIRLINES *9711,5775.0,UPI,Travel
2026-08-19,AMAZON PAY *2218,1555.0,Card,Shopping
2026-02-15,METRO RECHARGE *3219,2100.0,Card,Travel
2026-08-15,CHAI POINT *6109,560.0,UPI,Food
2026-03-08,MYNTRA *4558,1780.0,Card,Shopping
2026-05-17,SPOTIFY *5439,178.0,UPI,Entertainment
2026-08-10,CHAI POINT *7396,620.0,NetBanking,Food
2026-05-14,PVR CINEMAS *4636,322.0,Card,Entertainment
2025-12-25,AMAZON PAY *5624,,Card,Shopping
2025-11-29,SPOTIFY *3249,860.0,Card,Entertainment
2025-12-19,SWIGGY ORDER *1081,194.0,NetBanking,Food
2026-05-14,RELIANCE TRENDS *8878,1084.0,NetBanking,Shopping
2026-07-21,indigo airlines *3433   ,5351.0,UPI,Travel
2025-12-18,METRO RECHARGE *5757,3034.0,UPI,Travel
2026-04-09,JIO RECHARGE *1652,1853.0,NetBanking,Bills
2026-04-27,ZOMATO *3374,284.0,NetBanking,Food
2025-11-21,DMART *6920,3417.0,UPI,Shopping
2026-02-05,GAS BILL *7694,2535.0,UPI,Bills
2026-08-21,METRO RECHARGE *5603,2818.0,UPI,Travel
2026-03-02,DOMINOS PIZZA *2672,663.0,UPI,Food
2025-12-17,BOOKMYSHOW *8242,140.0,Card,Entertainment
2026-02-04,DOMINOS PIZZA *1444,778.0,NetBanking,Food
2025-12-11,TORRENT POWER *5366,272.0,UPI,Bills
2026-04-07,RELIANCE TRENDS *2376,2943.0,NetBanking,Shopping
2025-12-12,UBER TRIP *3970,1192.0,NetBanking,Travel
2025-11-27,AMAZON PAY *1933,3798.0,Card,Shopping
2025-11-28,STARBUCKS *1565,401.0,NetBanking,Food
2026-05-06,METRO RECHARGE *6820,3092.0,Card,Travel
2025-11-14,LIC PREMIUM *3985,425.0,UPI,Bills
2026-03-16,amazon pay *1508   ,1861.0,UPI,Shopping
2026-01-18,dominos pizza *3946   ,485.0,NetBanking,Food
2026-04-12,GAS BILL *7378,2915.0,Card,Bills
2026-08-18,HOTSTAR *9996,840.0,Card,Entertainment
2026-02-09,SPOTIFY *2846,553.0,Card,Entertainment
2026-06-04,PVR CINEMAS *6212,366.0,NetBanking,Entertainment
2026-09-02,airtel broadband *9697   ,1279.0,Card,Bills
2026-04-01,PVR CINEMAS *6644,377.0,UPI,Entertainment
2026-06-17,UBER TRIP *7655,1224.0,UPI,Travel
2025-10-18,NETFLIX *5152,210.0,UPI,Entertainment
2026-02-20,IRCTC TICKET *7821,2486.0,UPI,Travel
2026-04-05,SPOTIFY *5659,531.0,NetBanking,Entertainment
2026-08-14,UBER TRIP *7166,3669.0,NetBanking,Travel
2026-09-24,SWIGGY ORDER *1552,429.0,Card,Food
2026-03-22,GAS BILL *8189,2403.0,NetBanking,Bills
2026-05-30,ZOMATO *4897,291.0,UPI,Food
2026-02-08,metro recharge *1786   ,4408.0,UPI,Travel
2026-09-20,UBER TRIP *5784,1320.0,UPI,Travel
2026-06-22,TORRENT POWER *8513,2762.0,Card,Bills
2025-10-16,TORRENT POWER *5424,1632.0,Card,Bills
2026-09-21,METRO RECHARGE *1044,1850.0,NetBanking,Travel
2026-02-16,DOMINOS PIZZA *7999,208.0,NetBanking,Food
2026-04-19,AIRTEL BROADBAND *3160,1130.0,UPI,Bills
2026-05-22,BOOKMYSHOW *4867,477.0,Card,Entertainment
2026-08-24,DOMINOS PIZZA *9808,542.0,NetBanking,Food
2025-12-10,JIO RECHARGE *7869,1750.0,UPI,Bills
2026-04-23,UBER TRIP *7915,4391.0,NetBanking,Travel
2026-09-15,OLA CABS *1583,4567.0,Card,Travel
2026-06-28,FLIPKART *9134,1124.0,NetBanking,Shopping
2026-05-12,ZOMATO *7163,683.0,Card,Food
2026-09-02,DMART *8101,4660.0,NetBanking,Shopping
2026-01-28,FLIPKART *8610,3085.0,NetBanking,Shopping
2025-10-28,PVR CINEMAS *2074,791.0,NetBanking,Entertainment
2026-08-15,MYNTRA *5798,2259.0,UPI,Shopping
2026-04-22,INDIGO AIRLINES *2054,5784.0,UPI,Travel
2026-04-19,STARBUCKS *7852,485.0,UPI,Food
2026-06-18,BOOKMYSHOW *9776,784.0,Card,Entertainment
2026-07-10,ZOMATO *3101,749.0,NetBanking,Food
2026-06-07,CHAI POINT *3196,454.0,NetBanking,Food
2026-06-07,starbucks *4558   ,442.0,Card,Food
2026-04-07,CHAI POINT *5483,300.0,Card,Food
2026-02-28,DOMINOS PIZZA *3682,203.0,Card,Food
2026-03-22,pvr cinemas *5970   ,299.0,UPI,Entertainment
2026-09-07,OLA CABS *5777,4973.0,NetBanking,Travel
2026-03-28,airtel broadband *2205   ,813.0,UPI,Bills
2025-11-05,DOMINOS PIZZA *6073,155.0,NetBanking,Food
2026-01-08,UBER TRIP *8509,2761.0,NetBanking,Travel
2025-10-27,TORRENT POWER *7644,534.0,NetBanking,Bills
2025-10-21,HOTSTAR *1768,479.0,UPI,Entertainment
2026-03-10,JIO RECHARGE *4758,2051.0,Card,Bills
2026-05-28,TORRENT POWER *3580,290.0,UPI,Bills
2026-01-17,CHAI POINT *9758,763.0,NetBanking,Food
2026-07-12,DMART *5177,713.0,UPI,Shopping
2026-03-25,RELIANCE TRENDS *9228,3587.0,UPI,Shopping
2026-04-14,amazon pay *2804   ,3913.0,UPI,Shopping
2026-04-26,JIO RECHARGE *3423,315.0,Card,Bills
2026-01-19,SWIGGY ORDER *1827,742.0,UPI,Food
2026-08-19,BOOKMYSHOW *2742,381.0,Card,Entertainment
2025-10-23,METRO RECHARGE *4364,1072.0,NetBanking,Travel
2026-05-10,TORRENT POWER *9243,2313.0,Card,Bills
2026-05-10,LIC PREMIUM *6570,1816.0,UPI,Bills
2026-05-30,SPOTIFY *3082,825.0,UPI,Entertainment
2026-02-26,OLA CABS *4747,691.0,NetBanking,Travel
2026-09-03,TORRENT POWER *7722,159.0,UPI,Bills
2026-08-17,BOOKMYSHOW *3440,798.0,NetBanking,Entertainment
2026-05-28,LIC PREMIUM *4932,2178.0,NetBanking,Bills
2026-08-27,PVR CINEMAS *7683,376.0,UPI,Entertainment
2026-08-15,reliance trends *1839   ,202.0,UPI,Shopping
2026-08-20,JIO RECHARGE *1270,2618.0,UPI,Bills
2026-08-07,STARBUCKS *9120,712.0,Card,Food
2026-06-03,ZOMATO *1808,231.0,NetBanking,Food
2026-02-06,chai point *2081   ,693.0,UPI,Food
2026-01-07,AMAZON PAY *5025,3118.0,Card,Shopping
2026-07-12,JIO RECHARGE *5154,,Card,Bills
2026-08-15,JIO RECHARGE *3832,2974.0,NetBanking,Bills
2026-01-08,torrent power *9269   ,2981.0,NetBanking,Bills
2026-02-06,LIC PREMIUM *4675,1748.0,UPI,Bills
2026-03-27,JIO RECHARGE *6546,2906.0,NetBanking,Bills
2026-07-05,AMAZON PAY *7000,4439.0,UPI,Shopping
2026-04-02,AIRTEL BROADBAND *4109,2336.0,NetBanking,Bills
2025-12-18,TORRENT POWER *5555,2258.0,UPI,Bills
2025-10-09,TORRENT POWER *7616,1142.0,Card,Bills
2025-12-06,TORRENT POWER *6604,2796.0,UPI,Bills
2026-08-20,LIC PREMIUM *9787,2743.0,UPI,Bills
2026-09-01,IRCTC TICKET *8693,112.0,NetBanking,Travel
2026-02-12,NETFLIX *3269,254.0,Card,Entertainment
2026-03-19,DMART *4057,750.0,NetBanking,Shopping
2026-05-12,FLIPKART *4719,2781.0,Card,Shopping
2026-02-28,INDIGO AIRLINES *6374,1440.0,UPI,Travel
2026-08-12,OLA CABS *4525,3379.0,Card,Travel
2025-12-28,HOTSTAR *1665,777.0,UPI,Entertainment
2026-09-24,DMART *2995,4091.0,NetBanking,Shopping
2026-03-15,ZOMATO *1105,275.0,Card,Food
2025-12-23,STARBUCKS *5037,465.0,Card,Food
2026-06-09,DOMINOS PIZZA *9893,211.0,Card,Food
2025-10-13,JIO RECHARGE *3257,2938.0,UPI,Bills
2026-08-21,AMAZON PAY *3367,3486.0,NetBanking,Shopping
2026-05-27,METRO RECHARGE *4907,847.0,NetBanking,Travel
2026-01-14,UBER TRIP *7324,265.0,UPI,Travel
2026-03-14,chai point *4439   ,351.0,UPI,Food
2026-07-27,METRO RECHARGE *9234,983.0,NetBanking,Travel
2026-05-23,MYNTRA *1897,1285.0,UPI,Shopping
2025-11-29,DMART *7003,3090.0,Card,Shopping
2026-04-14,JIO RECHARGE *5439,2026.0,NetBanking,Bills
2025-12-08,AMAZON PAY *1235,2169.0,Card,Shopping
2026-03-31,NETFLIX *4853,797.0,UPI,Entertainment
2026-04-23,SWIGGY ORDER *9663,133.0,UPI,Food
2025-10-08,netflix *1271   ,344.0,UPI,Entertainment
2026-03-15,GAS BILL *4867,1269.0,UPI,Bills
2025-11-23,SPOTIFY *3575,618.0,NetBanking,Entertainment
2025-12-13,dmart *1007   ,2755.0,UPI,Shopping
2026-07-23,AMAZON PAY *4412,256.0,NetBanking,Shopping
2026-05-11,indigo airlines *6457   ,4301.0,NetBanking,Travel
2025-12-07,JIO RECHARGE *8561,216.0,UPI,Bills
2026-03-16,gas bill *4273   ,295.0,NetBanking,Bills
2026-05-01,gas bill *1587   ,625.0,Card,Bills
2026-07-15,DOMINOS PIZZA *8795,397.0,Card,Food
2026-01-29,ZOMATO *1300,783.0,NetBanking,Food
2026-01-31,METRO RECHARGE *9378,1837.0,UPI,Travel
2026-07-08,PVR CINEMAS *9906,149.0,NetBanking,Entertainment
2026-02-16,OLA CABS *7364,312.0,Card,Travel
2025-12-05,SPOTIFY *8002,228.0,NetBanking,Entertainment
2026-08-22,NETFLIX *4055,787.0,NetBanking,Entertainment
2026-05-02,SWIGGY ORDER *1107,224.0,UPI,Food
2025-12-04,HOTSTAR *9006,619.0,UPI,Entertainment
2026-06-12,LIC PREMIUM *5524,583.0,NetBanking,Bills
2025-10-21,INDIGO AIRLINES *1406,1054.0,NetBanking,Travel
2026-05-11,metro recharge *2757   ,5125.0,Card,Travel
2026-02-05,CHAI POINT *5607,104.0,NetBanking,Food
2026-02-01,PVR CINEMAS *2404,391.0,UPI,Entertainment
2025-12-21,GAS BILL *6092,2076.0,Card,Bills
2026-06-21,DOMINOS PIZZA *6728,688.0,NetBanking,Food
2025-11-27,HOTSTAR *3739,439.0,UPI,Entertainment
2026-03-30,PVR CINEMAS *3790,399.0,UPI,Entertainment
2026-05-05,SWIGGY ORDER *9569,178.0,Card,Food
