date,description,amount,payment_mode,category
2025-11-30,METRO RECHARGE *5805,846,NetBanking,Travel
2026-09-09,STARBUCKS *5704,716,UPI,Food
2026-03-01,FLIPKART *2238,2413,NetBanking,Shopping
2026-09-22,UBER TRIP *1175,5136,NetBanking,Travel
2025-11-04,CHAI POINT *4175,594,UPI,Food
2025-11-07,INDIGO AIRLINES *6315,794,NetBanking,Travel
2026-04-10,METRO RECHARGE *9690,4957,UPI,Travel
2025-10-02,JIO RECHARGE *7368,2998,UPI,Bills
2026-06-13,FLIPKART *7093,426,UPI,Shopping
2026-03-12,STARBUCKS *2715,605,UPI,Food
2026-02-05,DMART *3738,1416,UPI,Shopping
2026-03-11,LIC PREMIUM *5370,355,UPI,Bills
2026-05-23,NETFLIX *2725,215,NetBanking,Entertainment
2026-01-23,SWIGGY ORDER *5376,334,UPI,Food
2025-12-05,DOMINOS PIZZA *9853,79,UPI,Food
2026-01-15,BOOKMYSHOW *1824,316,UPI,Entertainment
2026-08-03,METRO RECHARGE *4518,2982,UPI,Travel
2026-04-24,BOOKMYSHOW *1823,458,UPI,Entertainment
2026-09-09,FLIPKART *3970,211,NetBanking,Shopping
2026-09-20,CHAI POINT *3743,758,Card,Food
2026-06-22,DMART *8843,864,NetBanking,Shopping
2026-06-07,BOOKMYSHOW *3925,400,UPI,Entertainment
2026-08-04,INDIGO AIRLINES *5568,4247,Card,Travel
2026-01-03,STARBUCKS *4170,759,UPI,Food
2026-03-15,BOOKMYSHOW *8645,853,NetBanking,Entertainment
2026-06-09,TORRENT POWER *6738,1722,NetBanking,Bills
2026-02-14,SPOTIFY *3635,645,UPI,Entertainment
2026-04-14,METRO RECHARGE *7633,637,NetBanking,Travel
2026-07-23,DMART *4395,1013,Card,Shopping
2025-11-27,DMART *9932,316,Card,Shopping
2026-06-13,INDIGO AIRLINES *6656,2025,UPI,Travel
2026-07-02,CHAI POINT *4273,503,Card,Food
2026-03-05,TORRENT POWER *6193,2652,NetBanking,Bills
2026-01-19,BOOKMYSHOW *7371,209,Card,Entertainment
2026-06-15,ZOMATO *4845,678,NetBanking,Food
2026-02-16,IRCTC TICKET *4708,801,Card,Travel
2025-10-24,AIRTEL BROADBAND *7213,2053,NetBanking,Bills
2026-05-08,FLIPKART *7738,1777,UPI,Shopping
2026-03-27,PVR CINEMAS *7523,756,Card,Entertainment
2026-02-26,SPOTIFY *3827,660,Card,Entertainment
2026-01-26,HOTSTAR *1443,450,NetBanking,Entertainment
2026-08-29,AMAZON PAY *2014,2332,UPI,Shopping
2026-06-27,GAS BILL *8548,2877,Card,Bills
2026-06-27,OLA CABS *5799,726,UPI,Travel
2026-01-27,HOTSTAR *9789,480,UPI,Entertainment
2026-08-07,AMAZON PAY *3000,2956,NetBanking,Shopping
2025-11-16,SPOTIFY *8846,550,UPI,Entertainment
2025-10-10,LIC PREMIUM *4185,2873,Card,Bills
2026-03-24,AIRTEL BROADBAND *7142,2969,NetBanking,Bills
2026-06-16,RELIANCE TRENDS *1282,2098,Card,Shopping
2025-10-01,HOTSTAR *9210,430,UPI,Entertainment
2026-05-22,NETFLIX *3892,273,UPI,Entertainment
2025-10-04,JIO RECHARGE *6468,1070,UPI,Bills
2026-03-29,JIO RECHARGE *3761,2676,UPI,Bills
2026-08-25,NETFLIX *1296,460,UPI,Entertainment
2026-02-06,JIO RECHARGE *6413,1419,UPI,Bills
2026-04-04,ZOMATO *2423,266,Card,Food
2025-10-01,JIO RECHARGE *2854,716,NetBanking,Bills
2026-06-17,HOTSTAR *6565,547,UPI,Entertainment
2026-04-11,JIO RECHARGE *5658,2923,NetBanking,Bills
2026-06-13,DOMINOS PIZZA *1698,135,UPI,Food
2026-06-24,ZOMATO *1689,312,NetBanking,Food
2025-10-18,AIRTEL BROADBAND *5059,864,Card,Bills
2026-04-17,INDIGO AIRLINES *1959,732,Card,Travel
2025-12-04,FLIPKART *3402,3412,Card,Shopping
2025-10-22,ZOMATO *5968,659,UPI,Food
2026-04-04,NETFLIX *9662,316,UPI,Entertainment
2026-01-13,IRCTC TICKET *4644,1243,Card,Travel
2025-12-29,HOTSTAR *9125,318,Card,Entertainment
2026-03-25,DOMINOS PIZZA *9007,557,NetBanking,Food
2026-01-19,LIC PREMIUM *7652,2470,NetBanking,Bills
2025-10-03,METRO RECHARGE *3261,4209,NetBanking,Travel
2026-03-31,BOOKMYSHOW *9974,851,NetBanking,Entertainment
2025-12-24,AIRTEL BROADBAND *1556,1309,NetBanking,Bills
2026-05-31,DMART *9664,1158,UPI,Shopping
2026-09-18,RELIANCE TRENDS *6142,4870,NetBanking,Shopping
2026-02-23,FLIPKART *7928,4821,Card,Shopping
2026-05-24,UBER TRIP *7738,2512,UPI,Travel
2025-11-27,DMART *8426,541,Card,Shopping
2026-01-01,AIRTEL BROADBAND *6161,2576,NetBanking,Bills
2025-10-06,FLIPKART *6911,3703,NetBanking,Shopping
2026-03-09,UBER TRIP *1851,1727,Card,Travel
2025-11-09,GAS BILL *2709,1836,NetBanking,Bills
2026-03-15,LIC PREMIUM *4382,217,NetBanking,Bills
2026-01-05,RELIANCE TRENDS *9558,727,NetBanking,Shopping
2026-09-02,AIRTEL BROADBAND *3466,2088,NetBanking,Bills
2026-06-04,HOTSTAR *9130,174,Card,Entertainment
2026-06-06,SPOTIFY *6633,270,UPI,Entertainment
2026-01-09,MYNTRA *4809,2611,Card,Shopping
2026-01-03,AIRTEL BROADBAND *5675,1040,Card,Bills
2026-01-26,OLA CABS *1770,4002,Card,Travel
2025-11-28,STARBUCKS *4424,504,NetBanking,Food
2025-12-25,RELIANCE TRENDS *3744,3556,Card,Shopping
2026-01-22,TORRENT POWER *1412,878,UPI,Bills
2026-07-24,FLIPKART *4003,4880,UPI,Shopping
2026-03-22,LIC PREMIUM *4574,1556,Card,Bills
2026-06-19,SPOTIFY *6904,518,UPI,Entertainment
2025-12-28,CHAI POINT *9899,409,NetBanking,Food
2026-07-16,NETFLIX *8280,303,UPI,Entertainment
2026-05-27,FLIPKART *7731,1153,UPI,Shopping
2026-03-10,TORRENT POWER *6111,2806,Card,Bills
2026-01-17,OLA CABS *7849,1098,NetBanking,Travel
2026-07-24,DMART *8986,470,Card,Shopping
2026-06-07,AIRTEL BROADBAND *9381,2908,UPI,Bills
2026-02-06,AMAZON PAY *8209,4186,UPI,Shopping
2025-11-12,DOMINOS PIZZA *2907,864,Card,Food
2025-11-23,FLIPKART *9653,3439,NetBanking,Shopping
2025-11-09,INDIGO AIRLINES *9711,5775,UPI,Travel
2026-08-19,AMAZON PAY *2218,1555,Card,Shopping
2026-02-15,METRO RECHARGE *3219,2100,Card,Travel
2026-08-15,CHAI POINT *6109,560,UPI,Food
2026-03-08,MYNTRA *4558,1780,Card,Shopping
2026-05-17,SPOTIFY *5439,178,UPI,Entertainment
2026-08-10,CHAI POINT *7396,620,NetBanking,Food
2026-05-14,PVR CINEMAS *4636,322,Card,Entertainment
2025-12-25,AMAZON PAY *5624,864,Card,Shopping
2025-11-29,SPOTIFY *3249,860,Card,Entertainment
2025-12-19,SWIGGY ORDER *1081,194,NetBanking,Food
2026-05-14,RELIANCE TRENDS *8878,1084,NetBanking,Shopping
2026-07-21,INDIGO AIRLINES *3433,5351,UPI,Travel
2025-12-18,METRO RECHARGE *5757,3034,UPI,Travel
2026-04-09,JIO RECHARGE *1652,1853,NetBanking,Bills
2026-04-27,ZOMATO *3374,284,NetBanking,Food
2025-11-21,DMART *6920,3417,UPI,Shopping
2026-02-05,GAS BILL *7694,2535,UPI,Bills
2026-08-21,METRO RECHARGE *5603,2818,UPI,Travel
2026-03-02,DOMINOS PIZZA *2672,663,UPI,Food
2025-12-17,BOOKMYSHOW *8242,140,Card,Entertainment
2026-02-04,DOMINOS PIZZA *1444,778,NetBanking,Food
2025-12-11,TORRENT POWER *5366,272,UPI,Bills
2026-04-07,RELIANCE TRENDS *2376,2943,NetBanking,Shopping
2025-12-12,UBER TRIP *3970,1192,NetBanking,Travel
2025-11-27,AMAZON PAY *1933,3798,Card,Shopping
2025-11-28,STARBUCKS *1565,401,NetBanking,Food
2026-05-06,METRO RECHARGE *6820,3092,Card,Travel
2025-11-14,LIC PREMIUM *3985,425,UPI,Bills
2026-03-16,AMAZON PAY *1508,1861,UPI,Shopping
2026-01-18,DOMINOS PIZZA *3946,485,NetBanking,Food
2026-04-12,GAS BILL *7378,2915,Card,Bills
2026-08-18,HOTSTAR *9996,840,Card,Entertainment
2026-02-09,SPOTIFY *2846,553,Card,Entertainment
2026-06-04,PVR CINEMAS *6212,366,NetBanking,Entertainment
2026-09-02,AIRTEL BROADBAND *9697,1279,Card,Bills
2026-04-01,PVR CINEMAS *6644,377,UPI,Entertainment
2026-06-17,UBER TRIP *7655,1224,UPI,Travel
2025-10-18,NETFLIX *5152,210,UPI,Entertainment
2026-02-20,IRCTC TICKET *7821,2486,UPI,Travel
2026-04-05,SPOTIFY *5659,531,NetBanking,Entertainment
2026-08-14,UBER TRIP *7166,3669,NetBanking,Travel
2026-09-24,SWIGGY ORDER *1552,429,Card,Food
2026-03-22,GAS BILL *8189,2403,NetBanking,Bills
2026-05-30,ZOMATO *4897,291,UPI,Food
2026-02-08,METRO RECHARGE *1786,4408,UPI,Travel
2026-09-20,UBER TRIP *5784,1320,UPI,Travel
2026-06-22,TORRENT POWER *8513,2762,Card,Bills
2025-10-16,TORRENT POWER *5424,1632,Card,Bills
2026-09-21,METRO RECHARGE *1044,1850,NetBanking,Travel
2026-02-16,DOMINOS PIZZA *7999,208,NetBanking,Food
2026-04-19,AIRTEL BROADBAND *3160,1130,UPI,Bills
2026-05-22,BOOKMYSHOW *4867,477,Card,Entertainment
2026-08-24,DOMINOS PIZZA *9808,542,NetBanking,Food
2025-12-10,JIO RECHARGE *7869,1750,UPI,Bills
2026-04-23,UBER TRIP *7915,4391,NetBanking,Travel
2026-09-15,OLA CABS *1583,4567,Card,Travel
2026-06-28,FLIPKART *9134,1124,NetBanking,Shopping
2026-05-12,ZOMATO *7163,683,Card,Food
2026-09-02,DMART *8101,4660,NetBanking,Shopping
2026-01-28,FLIPKART *8610,3085,NetBanking,Shopping
2025-10-28,PVR CINEMAS *2074,791,NetBanking,Entertainment
2026-08-15,MYNTRA *5798,2259,UPI,Shopping
2026-04-22,INDIGO AIRLINES *2054,5784,UPI,Travel
2026-04-19,STARBUCKS *7852,485,UPI,Food
2026-06-18,BOOKMYSHOW *9776,784,Card,Entertainment
2026-07-10,ZOMATO *3101,749,NetBanking,Food
2026-06-07,CHAI POINT *3196,454,NetBanking,Food
2026-06-07,STARBUCKS *4558,442,Card,Food
2026-04-07,CHAI POINT *5483,300,Card,Food
2026-02-28,DOMINOS PIZZA *3682,203,Card,Food
2026-03-22,PVR CINEMAS *5970,299,UPI,Entertainment
2026-09-07,OLA CABS *5777,4973,NetBanking,Travel
2026-03-28,AIRTEL BROADBAND *2205,813,UPI,Bills
2025-11-05,DOMINOS PIZZA *6073,155,NetBanking,Food
2026-01-08,UBER TRIP *8509,2761,NetBanking,Travel
2025-10-27,TORRENT POWER *7644,534,NetBanking,Bills
2025-10-21,HOTSTAR *1768,479,UPI,Entertainment
2026-03-10,JIO RECHARGE *4758,2051,Card,Bills
2026-05-28,TORRENT POWER *3580,290,UPI,Bills
2026-01-17,CHAI POINT *9758,763,NetBanking,Food
2026-07-12,DMART *5177,713,UPI,Shopping
2026-03-25,RELIANCE TRENDS *9228,3587,UPI,Shopping
2026-04-14,AMAZON PAY *2804,3913,UPI,Shopping
2026-04-26,JIO RECHARGE *3423,315,Card,Bills
2026-01-19,SWIGGY ORDER *1827,742,UPI,Food
2026-08-19,BOOKMYSHOW *2742,381,Card,Entertainment
2025-10-23,METRO RECHARGE *4364,1072,NetBanking,Travel
2026-05-10,TORRENT POWER *9243,2313,Card,Bills
2026-05-10,LIC PREMIUM *6570,1816,UPI,Bills
2026-05-30,SPOTIFY *3082,825,UPI,Entertainment
2026-02-26,OLA CABS *4747,691,NetBanking,Travel
2026-09-03,TORRENT POWER *7722,159,UPI,Bills
2026-08-17,BOOKMYSHOW *3440,798,NetBanking,Entertainment
2026-05-28,LIC PREMIUM *4932,2178,NetBanking,Bills
2026-08-27,PVR CINEMAS *7683,376,UPI,Entertainment
2026-08-15,RELIANCE TRENDS *1839,202,UPI,Shopping
2026-08-20,JIO RECHARGE *1270,2618,UPI,Bills
2026-08-07,STARBUCKS *9120,712,Card,Food
2026-06-03,ZOMATO *1808,231,NetBanking,Food
2026-02-06,CHAI POINT *2081,693,UPI,Food
2026-01-07,AMAZON PAY *5025,3118,Card,Shopping
2026-07-12,JIO RECHARGE *5154,864,Card,Bills
2026-08-15,JIO RECHARGE *3832,2974,NetBanking,Bills
2026-01-08,TORRENT POWER *9269,2981,NetBanking,Bills
2026-02-06,LIC PREMIUM *4675,1748,UPI,Bills
2026-03-27,JIO RECHARGE *6546,2906,NetBanking,Bills
2026-07-05,AMAZON PAY *7000,4439,UPI,Shopping
2026-04-02,AIRTEL BROADBAND *4109,2336,NetBanking,Bills
2025-12-18,TORRENT POWER *5555,2258,UPI,Bills
2025-10-09,TORRENT POWER *7616,1142,Card,Bills
2025-12-06,TORRENT POWER *6604,2796,UPI,Bills
2026-08-20,LIC PREMIUM *9787,2743,UPI,Bills
2026-09-01,IRCTC TICKET *8693,112,NetBanking,Travel
2026-02-12,NETFLIX *3269,254,Card,Entertainment
2026-03-19,DMART *4057,750,NetBanking,Shopping
2026-05-12,FLIPKART *4719,2781,Card,Shopping
2026-02-28,INDIGO AIRLINES *6374,1440,UPI,Travel
2026-08-12,OLA CABS *4525,3379,Card,Travel
2025-12-28,HOTSTAR *1665,777,UPI,Entertainment
2026-09-24,DMART *2995,4091,NetBanking,Shopping
2026-03-15,ZOMATO *1105,275,Card,Food
2025-12-23,STARBUCKS *5037,465,Card,Food
2026-06-09,DOMINOS PIZZA *9893,211,Card,Food
2025-10-13,JIO RECHARGE *3257,2938,UPI,Bills
2026-08-21,AMAZON PAY *3367,3486,NetBanking,Shopping
2026-05-27,METRO RECHARGE *4907,847,NetBanking,Travel
2026-01-14,UBER TRIP *7324,265,UPI,Travel
2026-03-14,CHAI POINT *4439,351,UPI,Food
2026-07-27,METRO RECHARGE *9234,983,NetBanking,Travel
2026-05-23,MYNTRA *1897,1285,UPI,Shopping
2025-11-29,DMART *7003,3090,Card,Shopping
2026-04-14,JIO RECHARGE *5439,2026,NetBanking,Bills
2025-12-08,AMAZON PAY *1235,2169,Card,Shopping
2026-03-31,NETFLIX *4853,797,UPI,Entertainment
2026-04-23,SWIGGY ORDER *9663,133,UPI,Food
2025-10-08,NETFLIX *1271,344,UPI,Entertainment
2026-03-15,GAS BILL *4867,1269,UPI,Bills
2025-11-23,SPOTIFY *3575,618,NetBanking,Entertainment
2025-12-13,DMART *1007,2755,UPI,Shopping
2026-07-23,AMAZON PAY *4412,256,NetBanking,Shopping
2026-05-11,INDIGO AIRLINES *6457,4301,NetBanking,Travel
2025-12-07,JIO RECHARGE *8561,216,UPI,Bills
2026-03-16,GAS BILL *4273,295,NetBanking,Bills
2026-05-01,GAS BILL *1587,625,Card,Bills
2026-07-15,DOMINOS PIZZA *8795,397,Card,Food
2026-01-29,ZOMATO *1300,783,NetBanking,Food
2026-01-31,METRO RECHARGE *9378,1837,UPI,Travel
2026-07-08,PVR CINEMAS *9906,149,NetBanking,Entertainment
2026-02-16,OLA CABS *7364,312,Card,Travel
2025-12-05,SPOTIFY *8002,228,NetBanking,Entertainment
2026-08-22,NETFLIX *4055,787,NetBanking,Entertainment
2026-05-02,SWIGGY ORDER *1107,224,UPI,Food
2025-12-04,HOTSTAR *9006,619,UPI,Entertainment
2026-06-12,LIC PREMIUM *5524,583,NetBanking,Bills
2025-10-21,INDIGO AIRLINES *1406,1054,NetBanking,Travel
2026-05-11,METRO RECHARGE *2757,5125,Card,Travel
2026-02-05,CHAI POINT *5607,104,NetBanking,Food
2026-02-01,PVR CINEMAS *2404,391,UPI,Entertainment
2025-12-21,GAS BILL *6092,2076,Card,Bills
2026-06-21,DOMINOS PIZZA *6728,688,NetBanking,Food
2025-11-27,HOTSTAR *3739,439,UPI,Entertainment
2026-03-30,PVR CINEMAS *3790,399,UPI,Entertainment
2026-05-05,SWIGGY ORDER *9569,178,Card,Food
2026-03-03,DMART *9633,2276,UPI,Shopping
2026-01-05,DMART *9708,2816,Card,Shopping
2026-07-29,TORRENT POWER *6325,2787,NetBanking,Bills
2026-03-20,TORRENT POWER *8549,2370,NetBanking,Bills
2026-02-18,LIC PREMIUM *5882,1975,Card,Bills
2026-02-12,SPOTIFY *6393,486,UPI,Entertainment
2026-03-25,STARBUCKS *5522,176,Card,Food
2026-06-02,TORRENT POWER *4645,1855,UPI,Bills
2026-04-13,FLIPKART *1629,469,Card,Shopping
2026-06-03,INDIGO AIRLINES *2941,3188,Card,Travel
2025-11-20,RELIANCE TRENDS *7900,4186,Card,Shopping
2026-02-18,UBER TRIP *7376,1457,UPI,Travel
2026-08-28,INDIGO AIRLINES *6432,1426,NetBanking,Travel
2026-02-21,GAS BILL *6866,2716,UPI,Bills
2025-11-08,DMART *6141,4508,Card,Shopping
2026-08-13,JIO RECHARGE *7082,784,Card,Bills
2026-04-09,JIO RECHARGE *9040,1373,Card,Bills
2025-11-02,LIC PREMIUM *2223,917,NetBanking,Bills
2026-05-18,FLIPKART *9849,2980,NetBanking,Shopping
2026-09-14,AMAZON PAY *5366,1706,NetBanking,Shopping
2026-05-12,UBER TRIP *2435,611,NetBanking,Travel
2026-01-13,TORRENT POWER *8433,402,NetBanking,Bills
2025-12-07,DMART *3506,1737,Card,Shopping
2025-12-09,TORRENT POWER *3933,1365,UPI,Bills
2026-07-27,SPOTIFY *2645,294,UPI,Entertainment
2026-02-28,JIO RECHARGE *7257,2946,Card,Bills
2026-09-23,INDIGO AIRLINES *2098,3466,NetBanking,Travel
2026-02-16,UBER TRIP *4551,4145,Card,Travel
